Latitude,Longitude,Date,Time
-66.5331833333333,24.7824833333333,2025-02-03,14:32:01
-66.5331833333333,24.7824833333333,2025-02-03,14:35:42
-66.5332,24.78185,2025-02-03,14:39:58
-66.5332,24.78185,2025-02-03,14:46:10
-66.5332,24.78185,2025-02-03,14:48:30
-66.5332,24.78185,2025-02-03,14:50:25
-66.53285,24.77435,2025-02-03,16:02:19
-66.5304666666667,24.75975,2025-02-03,17:56:44
-66.52955,24.76095,2025-02-03,18:17:33
-66.5283,24.7598666666667,2025-02-03,18:39:29
-66.5272833333333,24.7594,2025-02-03,19:02:12
-66.5257666666667,24.7582333333333,2025-02-03,19:24:44
-66.524,24.7571,2025-02-03,19:47:03
-66.5222833333333,24.7560333333333,2025-02-03,20:07:53
-66.5040333333333,24.7473333333333,2025-02-03,22:18:59
-66.4949833333333,24.74325,2025-02-03,23:25:49
-66.47415,24.7327333333333,2025-02-04,01:46:55
-66.4544666666667,24.7182166666667,2025-02-04,03:42:58
-66.4347333333333,24.7058,2025-02-04,05:45:12
-66.4342833333333,24.7012666666667,2025-02-04,06:04:38
-66.4158666666667,24.7004833333333,2025-02-04,08:06:23
-66.4171833333333,24.6972666666667,2025-02-04,08:22:14
-66.3869666666667,24.6851,2025-02-04,11:52:34
-66.35665,24.66395,2025-02-04,15:09:24
-66.3260333333333,24.63375,2025-02-04,18:25:59
-66.3260333333333,24.63375,2025-02-04,18:25:59
-66.2950333333333,24.6038833333333,2025-02-04,22:02:15
-66.2974833333333,24.5957166666667,2025-02-04,22:25:41
-66.2616,24.6155666666667,2025-02-05,02:32:19
-66.2616,24.6155666666667,2025-02-05,02:32:19
-66.22275,24.6270333333333,2025-02-05,07:06:24
-66.1909833333333,24.6497333333333,2025-02-05,11:28:38
-66.1572833333333,24.67785,2025-02-05,15:54:34
-66.12615,24.6981166666667,2025-02-05,20:26:37
-66.0999666666667,24.7441333333333,2025-02-06,01:35:19
-66.0750833333333,24.77435,2025-02-06,06:51:00
-66.0487,24.8212166666667,2025-02-06,12:18:00
-66.02365,24.8673333333333,2025-02-06,17:15:04
-66.02365,24.8673333333333,2025-02-06,17:15:05
-65.9995166666667,24.9344333333333,2025-02-06,23:01:54
-65.9955833333333,25.01315,2025-02-07,04:03:58
-65.9955833333333,25.01315,2025-02-07,04:03:59
-65.9625666666667,24.988,2025-02-07,09:02:29
-65.9625666666667,24.988,2025-02-07,09:02:29
-65.92745,24.9606166666667,2025-02-07,14:20:54
-65.8913333333333,24.93505,2025-02-07,19:28:29
-65.8528333333333,24.9198,2025-02-08,00:47:58
-65.8165,24.9116666666667,2025-02-08,05:44:54
-65.77615,24.912,2025-02-08,10:57:15
-65.7350833333333,24.9210166666667,2025-02-08,16:10:58
-65.6942666666667,24.9072833333333,2025-02-08,21:27:30
-65.65085,24.9086333333333,2025-02-09,02:42:05
-65.6091333333333,24.9150333333333,2025-02-09,07:42:29
-65.5633833333333,24.9330166666667,2025-02-09,13:00:59
-65.5633833333333,24.9330166666667,2025-02-09,13:00:59
-65.5160666666667,24.9396666666667,2025-02-09,18:34:54
-65.4954333333333,25.00995,2025-02-09,23:48:53
-65.4954333333333,25.00995,2025-02-09,23:48:54
-65.4954333333333,25.00995,2025-02-09,23:48:54
-65.4476166666667,24.9883,2025-02-10,04:58:59
-65.4036166666667,24.96695,2025-02-10,10:02:59
-65.4036166666667,24.96695,2025-02-10,10:03:00
-65.3617333333333,24.9365333333333,2025-02-10,15:25:59
-65.3224833333333,24.901,2025-02-10,20:29:55
-65.2791666666667,24.8964,2025-02-11,01:35:29
-65.2336,24.8777833333333,2025-02-11,06:40:24
-65.1896666666667,24.8915166666667,2025-02-11,11:51:00
-65.14195,24.8740166666667,2025-02-11,17:06:54
-65.14195,24.8740166666667,2025-02-11,17:06:54
-65.0783833333333,24.8796,2025-02-12,00:39:39
-65.0783833333333,24.8796,2025-02-12,00:39:40
-65.0417166666667,24.8994166666667,2025-02-12,05:46:58
-65.0118166666667,24.9365666666667,2025-02-12,10:43:54
-65.0007333333333,24.9882833333333,2025-02-12,15:42:25
-64.9926666666667,24.988,2025-02-12,19:11:54
-64.95305,24.9584,2025-02-13,00:09:28
-64.9124333333333,24.9240333333333,2025-02-13,05:27:53
-64.8735333333333,24.91215,2025-02-13,10:32:29
-64.8352833333333,24.8849,2025-02-13,15:46:55
-64.80105,24.8575333333333,2025-02-13,20:51:25
-64.76425,24.8484833333333,2025-02-14,02:01:29
-64.7315666666667,24.8303,2025-02-14,07:03:29
-64.6969333333333,24.8254333333333,2025-02-14,12:05:13
-64.672,24.80505,2025-02-14,17:09:29
-64.6378166666667,24.8070166666667,2025-02-14,22:12:58
-64.60495,24.8237666666667,2025-02-15,03:24:53
-64.5732833333333,24.8482666666667,2025-02-15,08:22:54
-64.5732833333333,24.8482666666667,2025-02-15,08:22:54
-64.5423333333333,24.88505,2025-02-15,13:44:54
-64.5181666666667,24.90465,2025-02-15,18:45:59
-64.4998166666667,24.95715,2025-02-15,23:34:24
-64.4998166666667,24.95715,2025-02-15,23:34:24
-64.4987833333333,24.99955,2025-02-16,04:37:59
-64.4986833333333,24.9999,2025-02-16,05:18:29
-64.4980166666667,24.9986333333333,2025-02-16,05:30:22
-64.4977666666667,24.9982666666667,2025-02-16,05:33:58
-64.4976666666667,24.9973,2025-02-16,05:53:49
-64.4977333333333,24.9971833333333,2025-02-16,06:14:24
-64.4602,24.9731,2025-02-16,09:20:59
-64.4170666666667,24.95615,2025-02-16,12:51:04
-64.4170666666667,24.95615,2025-02-16,12:51:04
-64.37485,24.9391,2025-02-16,16:15:24
-64.3325166666667,24.9248333333333,2025-02-16,19:45:23
-64.2883833333333,24.9168333333333,2025-02-16,23:28:34
-64.2883833333333,24.9168333333333,2025-02-16,23:28:34
-64.20605,24.8943833333333,2025-02-17,07:01:54
-64.20605,24.8943833333333,2025-02-17,07:01:54
-64.1618166666667,24.8982166666667,2025-02-17,11:00:54
-64.1172833333333,24.90745,2025-02-17,15:19:59
-64.0752333333333,24.9283833333333,2025-02-17,19:43:54
-64.0362833333333,24.9703333333333,2025-02-18,00:14:20
-64.0006,25.0004333333333,2025-02-18,04:51:29
-63.9565833333333,24.98595,2025-02-18,10:11:50
-63.9111666666667,24.9744333333333,2025-02-18,15:28:54
-63.86705,24.9605833333333,2025-02-18,20:41:54
-63.8200333333333,24.95535,2025-02-19,01:50:59
-63.7784666666667,24.9328333333333,2025-02-19,06:56:19
-63.73575,24.9267166666667,2025-02-19,11:58:29
-63.6898833333333,24.9175666666667,2025-02-19,17:07:29
-63.6462666666667,24.9178666666667,2025-02-19,22:10:03
-63.5998,24.9435666666667,2025-02-20,03:20:24
-63.5526833333333,24.9535833333333,2025-02-20,08:17:33
-63.50585,24.9869833333333,2025-02-20,13:20:03
-63.4947,24.9966166666667,2025-02-20,14:49:54
-63.4949666666667,24.9996833333333,2025-02-20,15:01:05
-63.4950666666667,25.0007333333333,2025-02-20,15:04:54
-63.4950666666667,25.0007333333333,2025-02-20,15:04:54
-63.45505,24.9896,2025-02-20,18:17:04
-63.4142166666667,24.9726833333333,2025-02-20,21:44:05
-63.3716333333333,24.9547,2025-02-21,01:20:29
-63.3297666666667,24.9314333333333,2025-02-21,04:55:19
-63.28735,24.9186,2025-02-21,08:23:29
-63.24185,24.91565,2025-02-21,12:04:25
-63.1987,24.9070833333333,2025-02-21,15:49:59
-63.1597833333333,24.9043,2025-02-21,19:47:28
-63.1188833333333,24.9074333333333,2025-02-22,00:00:19
-63.0801666666667,24.91395,2025-02-22,04:14:54
-63.046,24.9244,2025-02-22,08:43:23
-63.0170666666667,24.9428333333333,2025-02-22,13:56:24
-62.9983,24.9747,2025-02-22,19:09:58
-62.9974166666667,25.00565,2025-02-23,00:10:54
-63.0020666666667,24.99545,2025-02-23,01:08:04
-63.00195,24.9960666666667,2025-02-23,01:19:30
-63.0019166666667,24.9961166666667,2025-02-23,01:23:09
-63.0003,24.9930166666667,2025-02-23,02:05:48
-63.0117666666667,24.8961333333333,2025-02-23,05:20:23
-63.0193,24.79325,2025-02-23,08:43:29
-63.0557166666667,24.8149833333333,2025-02-23,12:21:49
-63.0613,24.7111333333333,2025-02-23,15:55:29
-63.06075,24.5943,2025-02-23,19:47:59
