Date & Time,Depth (m),Pitch (deg)
2025-05-22 22:54:23.769361,0.0,-0.9193318584031585
2025-05-22 22:54:33.769361,0.0037607041719622814,-0.24978312061701574
2025-05-22 22:54:43.769361,0.015042760116212861,-3.0412170718325715
2025-05-22 22:54:53.769361,0.03384599811889766,-4.2513085786307485
2025-05-22 22:55:03.769361,0.06017013532627624,0.2437787478389204
2025-05-22 22:55:13.769361,0.09401477574927375,-3.5253792826433665
2025-05-22 22:55:23.769361,0.13537941026914302,-3.092009118090378
2025-05-22 22:55:33.769361,0.18426341664523616,-1.316061032831315
2025-05-22 22:55:43.769361,0.24066605952444142,-0.699183944421649
2025-05-22 22:55:53.769361,0.30458649045211894,-2.503221835711947
2025-05-22 22:56:03.769361,0.3760237478849793,-1.919907672323634
2025-05-22 22:56:13.769361,0.4549767572054053,-7.275883779979347
2025-05-22 22:56:23.769361,0.541444330737717,-1.8518585292060463
2025-05-22 22:56:33.769361,0.6354251677661571,-5.629516838327486
2025-05-22 22:56:43.769361,0.7369178545542088,-4.356389910442154
2025-05-22 22:56:53.769361,0.8459208643659122,-2.871861832979056
2025-05-22 22:57:03.769361,0.9624325574890125,-4.934012984268561
2025-05-22 22:57:13.769361,1.0864511812594957,-3.8391182314590857
2025-05-22 22:57:23.769361,1.2179748700879012,-1.4728711943958506
2025-05-22 22:57:33.769361,1.3570016454874656,-9.625598228720726
2025-05-22 22:57:43.769361,1.503529416103988,-4.537489991477057
2025-05-22 22:57:53.769361,1.6575559777469717,-4.772744668720388
2025-05-22 22:58:03.769361,1.8190790134231527,-5.050030442691664
2025-05-22 22:58:13.769361,1.9880960933710834,-3.665910190680285
2025-05-22 22:58:23.769361,2.16460467509777,-6.176357187395773
2025-05-22 22:58:33.769361,2.3486021034170856,-6.536688928490277
2025-05-22 22:58:43.769361,2.540085610489351,-7.597859084425163
2025-05-22 22:58:53.769361,2.739052315863355,-3.665013971608528
2025-05-22 22:59:03.769361,2.9454992265193214,-8.161848371733575
2025-05-22 22:59:13.769361,3.1594232369142605,-8.046205820017363
2025-05-22 22:59:23.769361,3.3808211290284884,-8.787379252881093
2025-05-22 22:59:33.769361,3.609689572414143,-7.772317679610911
2025-05-22 22:59:43.769361,3.846025124245145,-8.119721029773455
2025-05-22 22:59:53.769361,4.089824229369155,-8.656881388892641
2025-05-22 23:00:03.769361,4.341083220360864,-9.897417208160654
2025-05-22 23:00:13.769361,4.599798317577342,-10.47986266136399
2025-05-22 23:00:23.769361,4.865965629214819,-9.779672649306333
2025-05-22 23:00:33.769361,5.139581151367256,-9.36787008685476
2025-05-22 23:00:43.769361,5.42064076808646,-9.496002077334008
2025-05-22 23:00:53.769361,5.709140251444145,-7.714499798564294
2025-05-22 23:01:03.769361,6.005075261595493,-11.432506970862342
2025-05-22 23:01:13.769361,6.3084413468443845,-12.294811825285782
2025-05-22 23:01:23.769361,6.619233943710389,-7.794739691730135
2025-05-22 23:01:33.769361,6.9374483769975015,-11.17927062760569
2025-05-22 23:01:43.769361,7.263079859864241,-12.872888848584363
2025-05-22 23:01:53.769361,7.596123493895989,-13.916636776740617
2025-05-22 23:02:03.769361,7.936574269178321,-11.504485047659065
2025-05-22 23:02:13.769361,8.284427064372768,-9.146006845844248
2025-05-22 23:02:23.769361,8.639676646793326,-12.343650817575057
2025-05-22 23:02:33.769361,9.002317672485827,-10.960635748812143
2025-05-22 23:02:43.769361,9.372344686307654,-14.573835235825385
2025-05-22 23:02:53.769361,9.749752122010346,-13.368134744402735
2025-05-22 23:03:03.769361,10.13453430232303,-10.579302150739931
2025-05-22 23:03:13.769361,10.526685439037841,-12.58819220528575
2025-05-22 23:03:23.769361,10.926199633097156,-13.044628800556243
2025-05-22 23:03:33.769361,11.333070874682216,-12.690229232555023
2025-05-22 23:03:43.769361,11.74729304330352,-13.76936066609408
2025-05-22 23:03:53.769361,12.168859907892848,-13.605101698684607
2025-05-22 23:04:03.769361,12.597765126897198,-15.147877623127396
2025-05-22 23:04:13.769361,13.034002248373977,-15.184963279143894
2025-05-22 23:04:23.769361,13.477564710088096,-15.781010566676462
