Date,Time,Latitude,Longitude
27-04-2024,07:41:49,6.3573,88.7868
27-04-2024,07:41:50,6.3573,88.7868
27-04-2024,07:41:50,6.3573,88.7868
27-04-2024,08:11:52,6.36175,88.78546667
27-04-2024,08:11:52,6.36175,88.78546667
27-04-2024,08:11:53,6.36175,88.78546667
27-04-2024,08:32:18,6.365333333,88.78668333
27-04-2024,08:32:18,6.365333333,88.78668333
27-04-2024,08:32:19,6.365333333,88.78668333
27-04-2024,08:52:34,6.368266667,88.7884
27-04-2024,08:52:34,6.368266667,88.7884
27-04-2024,09:08:34,6.37095,88.78923333
27-04-2024,09:08:35,6.37095,88.78923333
27-04-2024,09:25:29,6.372483333,88.78881667
27-04-2024,09:25:29,6.372483333,88.78881667
27-04-2024,09:25:30,6.372483333,88.78881667
27-04-2024,10:29:09,6.373433333,88.787
27-04-2024,10:29:10,6.373433333,88.787
27-04-2024,13:39:19,6.365333333,88.7905
27-04-2024,13:39:19,6.365333333,88.7905
27-04-2024,16:46:28,6.35235,88.78691667
27-04-2024,20:04:13,6.335533333,88.7893
27-04-2024,20:04:13,6.335533333,88.7893
27-04-2024,20:04:13,6.335533333,88.7893
27-04-2024,20:16:43,6.3383,88.7896
27-04-2024,23:24:14,6.331483333,88.78963333
27-04-2024,23:24:14,6.331483333,88.78963333
28-04-2024,04:37:58,6.315333333,88.78515
28-04-2024,04:37:59,6.315333333,88.78515
28-04-2024,11:19:59,6.27995,88.78505
28-04-2024,11:19:59,6.27995,88.78505
28-04-2024,11:19:59,6.27995,88.78505
28-04-2024,16:32:53,6.26095,88.78725
28-04-2024,23:16:59,6.223033333,88.78345
29-04-2024,05:54:58,6.191316667,88.78791667
29-04-2024,05:54:58,6.191316667,88.78791667
29-04-2024,07:06:50,6.186066667,88.7839
29-04-2024,08:18:49,6.183083333,88.78378333
29-04-2024,08:18:50,6.183083333,88.78378333
29-04-2024,09:26:13,6.179716667,88.78083333
29-04-2024,09:26:14,6.179716667,88.78083333
29-04-2024,09:26:14,6.179716667,88.78083333
29-04-2024,12:47:17,6.172116667,88.78675
29-04-2024,12:47:17,6.172116667,88.78675
29-04-2024,16:07:45,6.160383333,88.7857
29-04-2024,16:07:45,6.160383333,88.7857
29-04-2024,21:10:54,6.137383333,88.78666667
29-04-2024,21:10:54,6.137383333,88.78666667
30-04-2024,03:59:33,6.100183333,88.79133333
30-04-2024,06:16:09,6.091333333,88.78806667
30-04-2024,06:16:09,6.091333333,88.78806667
30-04-2024,12:28:29,6.058616667,88.7904
30-04-2024,19:23:24,6.02955,88.79836667
30-04-2024,19:23:24,6.02955,88.79836667
30-04-2024,19:23:24,6.02955,88.79836667
01-05-2024,01:44:24,5.998583333,88.79496667
01-05-2024,05:02:43,5.99365,88.80441667
01-05-2024,05:02:43,5.99365,88.80441667
01-05-2024,11:46:25,5.96005,88.78388333
01-05-2024,18:34:55,5.933416667,88.79885
01-05-2024,18:34:55,5.933416667,88.79885
01-05-2024,21:56:19,5.924883333,88.80145
01-05-2024,21:56:19,5.924883333,88.80145
02-05-2024,03:14:59,5.907416667,88.8042
02-05-2024,03:15:00,5.907416667,88.8042
02-05-2024,09:03:29,5.882,88.7977
02-05-2024,09:03:29,5.882,88.7977
02-05-2024,15:28:29,5.856033333,88.8046
02-05-2024,15:28:30,5.856033333,88.8046
02-05-2024,21:40:54,5.831933333,88.80998333
02-05-2024,21:40:54,5.831933333,88.80998333
03-05-2024,03:13:53,5.810866667,88.80925
03-05-2024,03:13:54,5.810866667,88.80925
03-05-2024,08:59:23,5.782583333,88.80583333
03-05-2024,08:59:24,5.782583333,88.80583333
03-05-2024,13:31:19,5.767,88.80328333
03-05-2024,13:31:19,5.767,88.80328333
03-05-2024,13:31:20,5.767,88.80328333
03-05-2024,19:30:29,5.7353,88.8165
03-05-2024,19:30:29,5.7353,88.8165
04-05-2024,02:23:58,5.709166667,88.80841667
04-05-2024,02:23:59,5.709166667,88.80841667
04-05-2024,08:42:24,5.68105,88.81373333
04-05-2024,08:42:24,5.68105,88.81373333
04-05-2024,15:22:53,5.650283333,88.80746667
04-05-2024,15:22:54,5.650283333,88.80746667
04-05-2024,15:22:54,5.650283333,88.80746667
04-05-2024,19:48:59,5.63325,88.817
04-05-2024,19:48:59,5.63325,88.817
05-05-2024,02:02:29,5.60675,88.80563333
05-05-2024,02:02:30,5.60675,88.80563333
05-05-2024,08:27:59,5.573716667,88.81308333
05-05-2024,08:27:59,5.573716667,88.81308333
05-05-2024,15:02:59,5.546866667,88.80136667
05-05-2024,15:02:59,5.546866667,88.80136667
05-05-2024,15:02:59,5.546866667,88.80136667
05-05-2024,21:28:19,5.519366667,88.81368333
05-05-2024,21:28:19,5.519366667,88.81368333
06-05-2024,04:05:59,5.498233333,88.80053333
06-05-2024,04:05:59,5.498233333,88.80053333
06-05-2024,10:32:28,5.472533333,88.8124
06-05-2024,10:32:28,5.472533333,88.8124
06-05-2024,16:53:25,5.441866667,88.80288333
06-05-2024,23:05:59,5.418,88.8209
06-05-2024,23:05:59,5.418,88.8209
06-05-2024,23:06:00,5.418,88.8209
07-05-2024,05:35:54,5.387666667,88.81635
07-05-2024,05:35:55,5.387666667,88.81635
07-05-2024,12:07:59,5.356716667,88.82721667
07-05-2024,12:07:59,5.356716667,88.82721667
07-05-2024,12:07:59,5.356716667,88.82721667
07-05-2024,18:30:29,5.3161,88.82003333
08-05-2024,01:04:29,5.285,88.83936667
08-05-2024,07:24:48,5.242866667,88.8226
08-05-2024,07:24:49,5.242866667,88.8226
08-05-2024,13:51:30,5.214233333,88.84408333
08-05-2024,13:51:30,5.214233333,88.84408333
08-05-2024,20:12:24,5.169083333,88.82548333
09-05-2024,02:45:53,5.145083333,88.84501667
09-05-2024,02:45:53,5.145083333,88.84501667
09-05-2024,02:45:54,5.145083333,88.84501667
09-05-2024,02:45:54,5.145083333,88.84501667
09-05-2024,09:07:00,5.106516667,88.82271667
09-05-2024,09:07:00,5.106516667,88.82271667
09-05-2024,15:30:58,5.084683333,88.84968333
09-05-2024,15:30:59,5.084683333,88.84968333
09-05-2024,21:36:25,5.04355,88.8225
10-05-2024,02:16:33,5.0246,88.84725
10-05-2024,02:16:34,5.0246,88.84725
10-05-2024,02:16:34,5.0246,88.84725
10-05-2024,08:39:55,4.98225,88.8152
10-05-2024,08:39:55,4.98225,88.8152
10-05-2024,15:05:28,4.95825,88.84973333
10-05-2024,15:05:28,4.95825,88.84973333
10-05-2024,21:32:27,4.918383333,88.81953333
10-05-2024,21:32:28,4.918383333,88.81953333
11-05-2024,04:02:55,4.90055,88.851
11-05-2024,04:02:55,4.90055,88.851
11-05-2024,10:20:19,4.85525,88.82445
11-05-2024,10:20:19,4.85525,88.82445
11-05-2024,17:21:04,4.838,88.84391667
